16,1,803,11023865,0
16,1,803,11114938,0
16,1,507,11113082,1
16,1,507,11066283,0
16,1,535,11098448,1
16,1,535,11068141,1
16,1,542,11034261,1
16,1,542,11032011,0
16,1,44,11075346,1
16,1,44,11097494,0
16,1,511,11121118,0
16,1,511,11060309,1
16,1,12,11045036,0
16,1,12,11127677,0
16,1,210,11056203,0
16,1,210,11108163,0
16,1,22,11048348,0
16,1,22,11060407,0
16,1,222,11102101,0
16,1,222,11096608,0
16,1,1,11122520,1
16,1,1,11089377,0
16,1,221,10248621,0
16,1,221,11098056,0
16,1,31,11113595,0
16,1,31,11083261,0
16,1,402,11071387,0
16,1,402,11121058,0
16,1,805,11108801,0
16,1,805,11087191,0
16,1,65,11019500,0
16,1,65,11098631,0
16,1,3,11100464,1
16,1,3,11100536,1
16,1,550,11056267,1
16,1,802,11070184,0
16,1,802,11026606,0
16,1,36,11040399,0
16,1,36,11099440,0
16,1,806,11128134,0
16,1,806,11106735,1
16,1,2,11042318,0
16,1,2,11115159,0
16,1,503,11073221,1
16,1,503,11113992,0
16,1,49,11096054,0
16,1,49,11103188,0
16,1,601,11070815,0
16,1,601,11032294,0
16,1,42,11119966,0
16,1,42,11108836,0
16,1,29,11019366,1
16,1,29,11107023,0
16,1,57,11039519,0
16,1,57,11113744,1
16,1,24,11076963,1
16,1,24,11019293,0
16,1,510,11044592,1
16,1,510,11023360,0
16,1,530,11105262,1
16,1,530,11114532,0
16,1,219,11099563,0
16,1,219,11097281,1
16,1,51,11051680,0
16,1,51,11018364,0
16,1,4,11075727,0
16,1,4,11021753,0
16,1,220,11032505,1
16,1,220,11104263,0
16,1,509,11023732,1
16,1,509,11098552,0
16,1,201,11106494,0
16,1,201,11106899,0
16,1,504,11070414,0
16,1,504,11056525,0
16,1,801,11097239,0
16,1,801,11046533,0
16,1,19,11126560,0
16,1,19,11020137,1
16,1,10,11046139,0
16,1,10,11037902,0
16,1,807,11055054,0
16,1,807,10981377,1
16,1,44,11112749,0
16,1,65,11025667,1
16,1,10,11065829,0
16,1,51,11123211,0
16,1,57,11120626,0
16,1,221,10180345,0
16,1,42,11031704,0
16,1,3,11038768,0
16,1,29,11044868,1
16,1,1,11118606,0
16,1,803,11115524,0
